distance,status,duration,fuel_consumed,percentage,remainingFuel,datetime
47,3,335333,47.0,94,815.0,2025-03-13 23:20:16.386649+00:00
0,3,338969,0.0,100,863.0,2025-03-14 00:20:53.438900+00:00
0,3,342606,0.0,100,863.0,2025-03-14 01:21:31.364500+00:00
23,3,346243,23.0,97,839.0,2025-03-14 02:22:07.231801+00:00
0,3,349892,0.0,100,863.0,2025-03-14 03:22:56.678098+00:00
45,3,352620,22.0,94,817.0,2025-03-14 04:08:23.264196+00:00
0,3,357202,0.0,100,863.0,2025-03-14 05:24:46.763510+00:00
0,3,359929,0.0,100,863.0,2025-03-14 06:10:13.873941+00:00
0,3,362661,0.0,100,863.0,2025-03-14 06:55:45.829190+00:00
22,3,365395,22.0,97,840.0,2025-03-14 07:41:20.978194+00:00
0,3,368128,0.0,100,863.0,2025-03-14 08:26:52.332276+00:00
23,3,370856,0.0,97,839.0,2025-03-14 09:12:23.038282+00:00
46,3,373587,46.0,94,816.0,2025-03-14 09:57:51.000484+00:00
0,3,376314,0.0,100,863.0,2025-03-14 10:43:18.504821+00:00
46,3,379042,0.0,94,816.0,2025-03-14 11:28:46.892180+00:00
69,3,381774,46.0,91,793.0,2025-03-14 12:14:19.438352+00:00
23,3,384505,23.0,97,839.0,2025-03-14 12:59:49.447979+00:00
0,3,391856,0.0,100,863.0,2025-03-14 15:02:18.945671+00:00
0,3,394585,0.0,100,863.0,2025-03-14 15:47:52.907343+00:00
23,3,397316,23.0,97,839.0,2025-03-14 16:33:21.245082+00:00
0,3,400047,0.0,100,863.0,2025-03-14 17:18:52.200938+00:00
0,3,402776,0.0,100,863.0,2025-03-14 18:04:21.234132+00:00
0,3,405503,0.0,100,863.0,2025-03-14 18:49:48.356993+00:00
0,3,408231,0.0,100,863.0,2025-03-14 19:35:16.630773+00:00
0,3,410959,0.0,100,863.0,2025-03-14 20:20:43.548868+00:00
0,3,413688,0.0,100,863.0,2025-03-14 21:06:15.094320+00:00
0,3,416418,0.0,100,863.0,2025-03-14 21:51:43.597535+00:00
47,3,419148,0.0,94,815.0,2025-03-14 22:37:12.854637+00:00
0,3,421878,0.0,100,863.0,2025-03-14 23:22:42.510315+00:00
0,3,424605,0.0,100,863.0,2025-03-15 00:08:09.742292+00:00
514,2,1,0.0,40,348.0,2025-03-15 00:45:01.511088+00:00
514,2,1,0.0,40,348.0,2025-03-15 00:46:58.618308+00:00
46,3,55,1.0,94,816.0,2025-03-15 00:47:52.175361+00:00
232,3,109,0.0,73,630.0,2025-03-15 00:48:46.059942+00:00
232,3,163,0.0,73,630.0,2025-03-15 00:49:39.588474+00:00
232,3,217,0.0,73,630.0,2025-03-15 00:50:33.817385+00:00
232,3,270,194.0,73,630.0,2025-03-15 00:51:28.452707+00:00
4,3,23,0.0,99,858.0,2025-03-03 05:56:28.865411+00:00
13,3,1,0.0,98,849.0,2025-03-03 06:02:21.687885+00:00
70,3,9,56.0,91,792.0,2025-03-03 06:02:34.199514+00:00
519,2,169,79.0,39,343.0,2025-03-03 06:46:34.028505+00:00
105,3,188,0.0,87,757.0,2025-03-03 06:46:42.904217+00:00
602,2,197,496.0,30,260.0,2025-03-03 06:46:50.503054+00:00
104,3,204,0.0,87,758.0,2025-03-03 06:46:57.608583+00:00
101,3,211,0.0,88,761.0,2025-03-03 06:47:04.844632+00:00
6,3,218,0.0,99,856.0,2025-03-03 06:47:12.140227+00:00
1002,0,2,0.0,0,0.0,2025-03-03 23:56:17.808989+00:00
605,2,13,0.0,29,257.0,2025-03-03 23:56:25.529007+00:00
517,2,20,0.0,40,345.0,2025-03-03 23:56:33.322588+00:00
5,2,226,0.0,99,500.0,2025-03-03 06:47:19.202933+00:00
10,3,28,0.0,98,852.0,2025-03-03 23:56:40.524949+00:00
4,3,35,0.0,99,858.0,2025-03-03 23:56:48.325801+00:00
221,3,43,217.0,74,641.0,2025-03-03 23:56:56.049007+00:00
110,3,51,0.0,87,752.0,2025-03-03 23:57:03.309869+00:00
16,3,58,0.0,98,846.0,2025-03-03 23:57:10.667042+00:00
731,1,66,714.0,15,131.0,2025-03-03 23:57:18.443800+00:00
588,2,73,0.0,31,274.0,2025-03-03 23:57:26.125505+00:00
110,3,1,0.0,87,752.0,2025-03-04 00:07:07.711109+00:00
277,3,19,62.0,67,585.0,2025-03-04 00:07:25.312330+00:00
8,3,1,0.0,99,854.0,2025-03-04 03:57:40.612407+00:00
6,3,9,0.0,99,856.0,2025-03-04 03:57:50.449664+00:00
304,3,52,297.0,64,558.0,2025-03-04 03:58:32.689497+00:00
617,2,62,313.0,28,245.0,2025-03-04 03:58:42.149948+00:00
682,1,71,65.0,20,180.0,2025-03-04 03:58:51.965338+00:00
359,3,81,0.0,58,503.0,2025-03-04 03:59:00.997832+00:00
689,1,90,330.0,20,173.0,2025-03-04 03:59:10.124485+00:00
282,3,132,0.0,67,580.0,2025-03-04 03:59:51.678832+00:00
768,1,141,486.0,10,94.0,2025-03-04 03:59:59.439923+00:00
532,2,149,0.0,38,330.0,2025-03-04 04:00:07.102004+00:00
530,2,156,0.0,38,332.0,2025-03-04 04:00:19.005720+00:00
452,2,168,0.0,47,410.0,2025-03-04 04:00:27.928378+00:00
508,2,177,55.0,41,354.0,2025-03-04 04:00:36.855716+00:00
769,1,1,79.0,10,93.0,2025-03-04 04:33:30.542150+00:00
689,1,19,0.0,20,173.0,2025-03-04 04:33:40.650952+00:00
8,3,29,0.0,98,854.0,2025-03-04 04:33:50.448165+00:00
6,3,38,0.0,99,856.0,2025-03-04 04:33:59.366020+00:00
7,3,47,0.0,99,855.0,2025-03-04 04:34:08.334546+00:00
74,3,56,67.0,91,788.0,2025-03-04 04:34:17.152623+00:00
82,3,65,8.0,90,780.0,2025-03-04 04:34:26.850741+00:00
90,3,70,16.0,93,830.0,2025-03-04 07:10:17.734964+00:00
355,3,128,242.0,58,507.0,2025-03-05 01:47:55.876316+00:00
179,3,136,0.0,79,683.0,2025-03-05 01:48:03.466775+00:00
465,2,143,285.0,46,397.0,2025-03-05 01:48:12.242249+00:00
521,2,152,56.0,39,341.0,2025-03-05 01:48:20.583256+00:00
113,3,160,0.0,86,749.0,2025-03-05 01:48:29.628897+00:00
113,3,169,0.0,86,749.0,2025-03-05 01:48:38.854339+00:00
113,3,178,0.0,86,749.0,2025-03-05 01:48:47.932493+00:00
112,3,187,0.0,86,750.0,2025-03-05 01:48:57.741409+00:00
113,3,197,0.0,86,749.0,2025-03-05 01:49:06.396162+00:00
112,3,206,0.0,86,750.0,2025-03-05 01:49:15.756427+00:00
113,3,215,0.0,86,749.0,2025-03-05 01:49:24.513373+00:00
